1	-0.535
2	-0.533
3	-0.526
4	-0.527
5	-0.525
6	-0.523
7	-0.519
8	-0.524
9	-0.515
10	-0.514
11	-0.507
12	-0.507
13	-0.509
14	-0.502
15	-0.499
16	-0.497
17	-0.500
18	-0.497
19	-0.500
20	-0.487
21	-0.502
22	-0.499
23	-0.501
24	-0.499
25	-0.505
26	-0.508
27	-0.511
28	-0.506
29	-0.512
30	-0.511
31	-0.514
32	-0.518
33	-0.519
34	-0.525
35	-0.528
36	-0.536
37	-0.544
38	-0.548
39	-0.547
40	-0.551
41	-0.540
42	-0.540
43	-0.536
44	-0.534
45	-0.539
46	-0.540
47	-0.551
48	-0.558
49	-0.569
50	-0.573
51	-0.579
52	-0.581
53	-0.575
54	-0.569
55	-0.567
56	-0.561
57	-0.564
58	-0.551
59	-0.544
60	-0.535
61	-0.529
62	-0.522
63	-0.519
64	-0.517
65	-0.515
66	-0.517
67	-0.520
68	-0.517
69	-0.521
70	-0.519
71	-0.523
72	-0.525
73	-0.528
74	-0.528
75	-0.533
76	-0.535
77	-0.539
78	-0.542
79	-0.545
80	-0.549
81	-0.556
82	-0.561
83	-0.562
84	-0.568
85	-0.572
86	-0.577
87	-0.580
88	-0.585
89	-0.587
90	-0.590
91	-0.594
92	-0.597
93	-0.604
94	-0.605
95	-0.604
96	-0.606
97	-0.608
98	-0.609
99	-0.611
100	-0.616
101	-0.612
102	-0.609
103	-0.614
104	-0.615
105	-0.615
106	-0.613
107	-0.611
108	-0.610
109	-0.612
110	-0.608
111	-0.603
112	-0.597
113	-0.596
114	-0.589
115	-0.587
116	-0.579
117	-0.575
118	-0.571
119	-0.566
120	-0.558
121	-0.553
122	-0.549
123	-0.537
124	-0.538
125	-0.530
126	-0.528
127	-0.521
128	-0.514
129	-0.510
130	-0.505
131	-0.500
132	-0.494
133	-0.489
134	-0.486
135	-0.486
136	-0.476
137	-0.471
138	-0.467
139	-0.472
140	-0.468
141	-0.461
142	-0.461
143	-0.455
